Region Tag,ID Number,Homelands,Subsistence Building,City,Port,Farm,Mine,Wood,Arable Land,Provinces,Traits,Arable Resources,Caped Resources,Naval Exit,Prime Land
STATE_GREENLAND,12,cu:inuit,building_subsistence_fishing_villages,x31F2A9,x5B326C,xB460E8,xE3E358,xC13204,3,xAE3205 xCC0322 xEB5453 xFD03D4 x12A0C8 x1A9422 x9D6298 x554C3D x6F8095 x1440C6 x3ED2BE x510F90 x7CA3C1 xCD02DA x75E8EC x586D77 x2FF14B x1B77ED x3E6BD8 xFAC3E4 x2F4B10 xA2CFEA x59A50C x28EF12 x4C6F83 xDBB478 x1376E8 x451A6D xDDC889 x62B357 xDD4B17 xF68FCE x1BAB17 x5FA68A x0BEE23 xD0D788 xB3F025 xDA8974 xD788E8 xCD8B06 x2BE17D x3792E7 x86622C x1AE7EA xC20A82 x2EB6AA xAE8D8C xE98F5C x83A8EE x4D0DB5 x20B5F6 x9DE8E1 xF1014B x8EAFCB xFEF0A7 x50748E xAC5EF8 x9CEA48 x6FFF74 xAD6F70 x8E8368 x85BAD0 x3C81BD x8B0F28 x47B719 xEB7FCA x2A33C0 x8032F6 x813BEC xB460E8 x485920 xFF51DC xFEF851 x17C50A x046A22 x9FE3D7 xED815B x35427B xE28564 x1213E4 x3E78C3 xCBFA01 xF2A511 x52511D x51FFBC x3BEA40 x09BEF7 xB41450 xE12026 xE43391 x47C1F2 xE7C441 xA80537 x36A036 xCBAA78 x32DBED x5AC0B5 xB63F36 x293D01 x832740 x7AC814 x4602D4 x4A237A xA9AF29 x67D4D9 xF68608 xDA4CED x7447EA x0C2B43 x5B3F42 x3EF6DB x045371 x1E0CB2 x5FF2CC x294234 x79AB30 xE43641 xC06CEF x6DB5A6 x8D72FA x1D11A0 x972E69 x4D4904 x345503 xA6CE70 x6FAF4D x6CF4E2 x1A5496 x5D1EE3 x4ACC4E x2F616A x4352D2 xC6A074 xAAE5ED x1BAA4F x15AE5B xC9A105 xF2FD47 xACC160 x0489D2 x2D621B xBB6ADF x228995 x71D436 xABB8A9 xF0F8D5 x54716A x8A3761 xF8FE89 x816E36 x441330 x76C842 x0B820F x325620 xFEE1AC x8C64F5 xF5ED80 x63B507 x35EC65 x3E0F09 x899222 xFB37DA xF6C505 x28EBA7 x8AC169 xAE77E8 x135194 x4D47A2 x89E717 x019043 xBDA0F3 xB736D5 x2CEF5A x1F1EB4 xA72096 xB35AD6 x680BB5 x7E458B xEBEA77 x93F601 x315E14 x18434C xB944BE xFFD9F4 xE9617F xB38065 x52B22D x0B75AA x7B8C27 x705ADB x8C09AE x4D34C9 x5E2FCE xF51FF4 xD5E317 x9541C5 x10C9E8 x1164D0 x60CF04 xA4966B x949AD5 x4061C4 xEB9A78 x7A1E26 xAE86F9 xE917CD x833619 xEFAE70 x3B33B6 xFC7F77 x137F78 x18820A xB52B26 x3DBEF4 x60AA49 x7847B1 x000A19 xB95090 x82F13A x20083F x80C4C8 x3A4F58 x1187D1 x0C8FC6 x31DEF7 x04C479 xBDCB6F xBEBDBB xF162C2 xFC86C6 x0BAB3C xD353DD x31F2A9 xCDB076 xD20A8F x15940C x96E540 xA1E0B3 xE200D5 x665F61 xBD889C x0A0235 xC13204 xE7CC7E xDE68A4 x8391B2 xE83E6C xE5B709 x6BB73A xFB2EF8 x189543 x9F438F xD2DC36 x1AE570 x67E452 xA9FDAD xDF9239 x5F273C xBD5DCF x7E24C2 x0E081D xDFB6F4 x191E0A xF1D239 xD5C48E x2204E2 x66D327 x8DAC9C x881F10 x1096C5 x7C9625 x7538BF x8CC82F x8D1714 xD5115E x15354C xE56D29 xD8B192 x664F9B xE3E358 xB6A165 x1AB55E x5FD6D3 x698B9B xA6199A x46BDE7 x1A4267 xCB0338 x992454 x5B326C x64794B x5B4806 x999944 xE4FA88 x830E78 x3E3DBE x78CFED xBFD228 x8F4B96 xAB9A68 x5D9349 x22C365 x71E0AB xA62EAA x721C60 xDF058C xE002A0 xE0DCFA xC84380 x74D66A xD78CF2 xC52DC4 xE174E4 x5E7A77 x23A0CB x42DF86 x2DDD74 x173BCB x7023CA x2E8797 x20228B x4BF6A9 x550BBD x9A14C0 x10B739 xC6C6EB xC12C04 xA2EC4A x9CDC3F x6190CF x8225B4 xEC5065 x751C4C x0C3790 x97C242 x884170 x8AD1E9 xD274AC x6817F7 x2AC988 x7C04E8 xA0EFE7 x51A97F xF5DF93 x49E5F6 x8B199B xAD5556 xE289BC x59D1D2,state_trait_arctic_whaling,bg_livestock_ranches,bg_whaling=5 bg_fishing=3,3023,
STATE_HOME_COUNTIES,15,cu:british,building_subsistence_farms,x7543C8,xE060C0,x625993,x60E0C0,x58D3AE,40,x60E0C0 x800020 xE0E0C0 x58D3AE x39F45B x625993 xE060C0 x19CECD x7543C8,state_trait_good_soils state_trait_london_docklands,bg_rye_farms bg_livestock_ranches,bg_coal_mining=40 bg_logging=6 bg_fishing=10 bg_monuments=1,3028,
STATE_LANCASHIRE,16,cu:british,building_subsistence_farms,xE0E000,x60E000,xA242B2,xE0E000,x410CE6,45,x65617C x137263 xA242B2 xE74158 x410CE6 x60E000 xE06000 xE0E000,state_trait_lancashire_coalfield state_trait_natural_harbors,bg_rye_farms bg_livestock_ranches,bg_coal_mining=100 bg_iron_mining=60 bg_lead_mining=45 bg_logging=9 bg_fishing=15 bg_oil_extraction=5,3030,
STATE_WALES,17,cu:british cu:welsh,building_subsistence_farms,x2020C0,xA2308A,xB7FC74,x20A040,xA02040,40,xA02040 x633EF5 x2020C0 xA2308A x775D55 x70D92B xA0A040 x20A040 xB7FC74,state_trait_south_wales_valleys,bg_rye_farms bg_livestock_ranches,bg_coal_mining=80 bg_logging=14 bg_fishing=4,3030,
STATE_YORKSHIRE,18,cu:british,building_subsistence_farms,xB5BF4E,x606000,x527116,x606080,xE06080,50,xE06080 x5544D0 x527116 x606080 xEDC0BA xB5BF4E x606000 x824DB7 x86B021,state_trait_south_yorkshire_coalfield,bg_rye_farms bg_livestock_ranches,bg_coal_mining=100 bg_iron_mining=75 bg_lead_mining=27 bg_logging=6 bg_fishing=7,3027,
STATE_HIGHLANDS,19,cu:scottish,building_subsistence_farms,xCCBBD1,x37518E,xB7B8EA,xFACCE3,xCCBBD1,30,x47C5CD x37518E x0C1520 x84625B x314E1F x8E7728 xCCBBD1 xFBDD5D x5B0884 x80DB90 x637BE8 xF00652 xF78F29 x3CFF08 xB7B8EA x662BE7 x20E000 xFACCE3 x0E7C03,state_trait_scottish_highlands state_trait_north_sea_fishing,bg_rye_farms bg_livestock_ranches,bg_logging=14 bg_whaling=6 bg_fishing=14,3027,
STATE_MIDLANDS,20,cu:british,building_subsistence_farms,x6020C0,x2482B4,xA0A0C0,xE0E080,x528DEE,80,x60E080 x11C2BB x2482B4 xA021B0 xA0A0C0 x528DEE xE0E080 x20A0C0 x6020C0 x99305F xA220D6,state_trait_black_country,bg_rye_farms bg_livestock_ranches,bg_coal_mining=80 bg_iron_mining=60 bg_sulfur_mining=40 bg_logging=6 bg_fishing=2,3027,
STATE_EAST_ANGLIA,21,cu:british,building_subsistence_farms,x8C667B,xE02040,x60A040,x8C667B,x516676,40,xE0A040 x5024FD x516676 xE02040 x618949 x73EF57 x6D87D7 x8C667B x60A040,state_trait_good_soils state_trait_natural_harbors,bg_rye_farms bg_livestock_ranches,bg_coal_mining=40 bg_iron_mining=30 bg_logging=4 bg_fishing=12 bg_oil_extraction=5,3028,
STATE_WEST_COUNTRY,22,cu:british,building_subsistence_farms,xE0E040,x63EF7E,xE0E040,xE020C0,xA2DD9E,60,x6060C0 xEB9862 xB78E54 xE020C0 x65B395 x1E38F8 xE0E040 x225544 x63EF7E xA2DD9E xC900EF,state_trait_natural_harbors,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_lead_mining=60 bg_logging=6 bg_fishing=9,3028,
STATE_LOWLANDS,23,cu:scottish,building_subsistence_farms,xA0E080,xA0E000,xA06080,xDCD566,x9B6ACC,60,x832656 x363883 x193EFC xD01BE2 xA06080 xA0E000 x9B6ACC xA0E080 x80F634 xDCD566 x676072 xB2A15E x0B53FA x206080 x002C82 x20E080,state_trait_central_belt_coalfield state_trait_north_sea_fishing,bg_rye_farms bg_livestock_ranches,bg_coal_mining=60 bg_iron_mining=15 bg_logging=14 bg_fishing=12,3027,
STATE_ULSTER,24,cu:irish cu:british cu:scottish,building_subsistence_farms,x688E79,x2BE1C8,x20E040,xA06040,xCFCD2B,130,xCFCD2B xA06040 x0A38AF xAA6FA1 x2BE1C8 x688E79 xA0C0E0 x20E040,,bg_rye_farms bg_livestock_ranches,bg_logging=6 bg_fishing=11,3030,
STATE_MUNSTER,25,cu:irish,building_subsistence_farms,xF53F9B,x02061B,xEF3F71,xA0E0C0,x02061B,130,xBDAB32 xEF3F71 x969279 xE06040 x02061B x849939 xD9BB34 xECB3A5 xA0E0C0 xF53F9B,state_trait_the_golden_vale state_trait_natural_harbors,bg_rye_farms bg_livestock_ranches,bg_lead_mining=24 bg_logging=4 bg_fishing=12,3030,
STATE_LEINSTER,26,cu:irish,building_subsistence_farms,xA0E040,x60E040,x2060C0,x5086D4,xAEAF93,95,xAEAF93 xA0E040 x2060C0 x60E040 xA2A933 x5B3F6F x1E9CB2 x5086D4 xCC3E24,,bg_rye_farms bg_livestock_ranches,bg_iron_mining=33 bg_lead_mining=27 bg_logging=6 bg_fishing=6,3030,
STATE_CONNAUGHT,27,cu:irish,building_subsistence_farms,xC7847D,x5DEF58,xA060C0,x641238,x20E0C0,75,x641238 x20E0C0 xE5C4FE x85F13B x656D90 xA060C0 xC7847D x5DEF58,,bg_rye_farms bg_livestock_ranches,bg_sulfur_mining=48 bg_logging=7 bg_fishing=4,3030,
STATE_ILE_DE_FRANCE,28,cu:french,building_subsistence_farms,x906000,,x12462D,x906000,x7080DF,40,x12462D x906000 x71DA2E x7080DF,state_trait_seine_river state_trait_good_soils,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_logging=4 bg_monuments=1,,
STATE_PROVENCE,29,cu:french,building_subsistence_farms,x31C0DF,x3040E0,xB0C0E0,xB040E0,x3040E0,60,x3040E0 xC03918 xB0C0E0 x6D5E3F x5080E0 x31C0DF xB040E0 xCB9C34 xB0C060,state_trait_rhone_river state_trait_natural_harbors,bg_wheat_farms bg_livestock_ranches bg_cotton_plantations bg_silk_plantations bg_vineyard_plantations,bg_logging=7 bg_fishing=12,3032,
STATE_NORMANDY,30,cu:french,building_subsistence_farms,x9020C0,xA786BB,x79C0E6,x0B7098,x90A040,120,x90A040 xA786BB x79C0E6 x1020C0 xB8903B xD642B5 x065CAE x0B7098 x9020C0 x65728E xB06080,state_trait_seine_river,bg_wheat_farms bg_livestock_ranches,bg_iron_mining=30 bg_logging=8 bg_whaling=5 bg_fishing=13,3028,
STATE_LANGUEDOC,31,cu:french,building_subsistence_farms,x1060C0,x906080,xCF9FBF,xF0C060,xCF9FBF,120,x7C1D57 x906080 x5615DD xBBB6AD x106040 xECF077 x1727F7 xCF9FBF x1060C0 x306080 xF0C060 x3784B2 xB0E000,,bg_wheat_farms bg_livestock_ranches bg_cotton_plantations bg_vineyard_plantations,bg_logging=6 bg_fishing=8,3032,
STATE_RHONE,32,cu:french,building_subsistence_farms,xB04060,,x704060,x30C060,xEF4060,110,xB8E48D x7516B6 x704060 x71A804 x1B4B66 x8E88DA xEF4060 x3369C6 x73F176 x30C060 xB04060,state_trait_rhone_river state_trait_loire_coalfield,bg_wheat_farms bg_livestock_ranches bg_cotton_plantations bg_silk_plantations bg_vineyard_plantations,bg_coal_mining=100 bg_iron_mining=36 bg_lead_mining=36 bg_logging=14,,
STATE_FRENCH_LOW_COUNTRIES,33,cu:french cu:flemish,building_subsistence_farms,xA0A080,xD0854D,xE0A0C0,xA0A080,x106000,70,xA0A080 x70C020 xE0A0C0 xD0854D x5362AC x106000,state_trait_good_soils state_trait_nord_pas_de_calais_coalfield,bg_wheat_farms bg_livestock_ranches,bg_coal_mining=100 bg_logging=3 bg_fishing=6,3028,
STATE_PICARDY,34,cu:french,building_subsistence_farms,x10A0C0,xE0A624,xC4C61A,xC4C61A,xC4C61A,80,x075199 x10A0C0 xCF1F6D xC4C61A x7040A0 xE0A624,state_trait_good_soils,bg_wheat_farms bg_livestock_ranches,bg_logging=4 bg_fishing=1,3028,
STATE_ALSACE_LORRAINE,35,cu:french cu:german,building_subsistence_farms,x6E4891,,x4899A2,xCC3250,x6E4891,65,x6E4891 x4899A2 xCC3250 xF0C0A0,state_trait_saar_coalfield state_trait_rhine_river,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_coal_mining=60 bg_iron_mining=60 bg_logging=17,,
STATE_POITOU,36,cu:french,building_subsistence_farms,xD020C0,xD0A040,xE269A3,x9401C7,xD0A040,90,x3F74AF xD020C0 x9401C7 x50A040 xE269A3 x19234B xDD4DD0 xD0A040,,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_logging=5 bg_fishing=6,3029,
STATE_GUYENNE,37,cu:french,building_subsistence_farms,xA2BBE9,,xB06000,x106080,xC8CD2F,90,x5020C0 x7BCDC4 x061121 xB06000 xC8CD2F xA2BBE9 x086618 x306000 xF3D359 x30E000 x106080 xAF89BC,,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_logging=9,,
STATE_AUVERGNE_LIMOUSIN,38,cu:french,building_subsistence_farms,x61609A,,xDF5770,xDF5770,x61609A,110,x50A0C0 x3FE149 x70C060 xA8AE71 xA27EFD x368F00 xBED0F4 xF080E0 x61609A xABE045 x07BCC1 x01FD5F xDF5770,,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_coal_mining=56 bg_iron_mining=15 bg_logging=8,,
STATE_BRITTANY,39,cu:french cu:breton,building_subsistence_farms,x706000,x32C2E2,x2368E7,x2BD902,x10A040,120,xABF468 xD584A0 x55607E xA0B0D1 x10A040 x50F4A7 x2BD902 x32C2E2 x706000 xD0E080 xC4D7A2 xF91DD2 x85E5AC x2368E7,state_trait_loire_river,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_logging=11 bg_fishing=15,3029,
STATE_BURGUNDY,40,cu:french,building_subsistence_farms,x8C3297,,x8329EC,x708060,xF08060,80,x8329EC x6D7896 x999D4B x09BB96 xC69235 x10DF00 x8C3297 xF08060 x79B85C x7000E0 x708060 x380D42,state_trait_loire_river,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_iron_mining=33 bg_logging=9,,
STATE_CHAMPAGNE,41,cu:french,building_subsistence_farms,xD6A06D,,xEF00DF,xEFBF20,x600883,80,x5FEA2F x4B7684 x8AE8D1 x600883 x669027 xEFBF20 xE280FC xEF40A0 xEF00DF xD6A06D,state_trait_good_soils,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_iron_mining=21 bg_logging=11,,
STATE_FRANCHE_COMTE,42,cu:french,building_subsistence_farms,xCF46D1,,xB000E0,xF00060,xCF46D1,50,xF00060 x3D8EF9 xA9D961 xB000E0 x700060 xCF46D1,,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_iron_mining=20 bg_logging=9,,
STATE_LORRAINE,43,cu:french,building_subsistence_farms,xB080E0,,x70BFA0,xC5F13A,x3080E0,55,x7FC1E6 xB080E0 x3080E0 x70BFA0 xC5F13A x282DCC,,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_lead_mining=45 bg_sulfur_mining=40 bg_iron_mining=60 bg_logging=17,,
STATE_AQUITAINE,44,cu:french,building_subsistence_farms,xBBF036,x6E16BB,x70A080,xF02080,xCD8E77,90,xF02080 x76BA85 x073FC4 x5F7F2D xCD8E77 x606DEC xD957E6 x70A080 xA220D0 x6E16BB xBBF036 xF0A080,,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_coal_mining=70 bg_logging=14 bg_fishing=11,3029,
STATE_ORLEANS,45,cu:french,building_subsistence_farms,x47B641,,x50CE72,x90A0C0,x90E000,70,xE13BC2 x50CE72 x90E000 x14F855 xE7B296 xF522D9 x47B641 xE3E249 xF0E39E x886277 x6E4717 x90A0C0 xD8BA95,state_trait_loire_river state_trait_good_soils,bg_wheat_farms bg_livestock_ranches bg_vineyard_plantations,bg_logging=7,,
STATE_HOLLAND,46,cu:dutch,building_subsistence_farms,x777732,x80C0A0,xC04021,x777732,x01C0A0,30,x80C0A0 x777732 xC04021 x01C0A0,state_trait_rhine_river state_trait_natural_harbors,bg_rye_farms bg_livestock_ranches,bg_logging=4 bg_fishing=12,3028,
STATE_FRIESLAND,47,cu:dutch,building_subsistence_farms,xC0C021,x41C021,xC041A0,x4141A0,x41C021,30,x4141A0 xC0C021 x5A48A2 xC041A0 x41C021,,bg_rye_farms bg_livestock_ranches,bg_logging=2 bg_whaling=5 bg_fishing=15 bg_oil_extraction=30,3027,
STATE_GELRE,48,cu:dutch,building_subsistence_farms,xC0C0A0,,xAF3A54,x0000DF,x41C0A0,40,x41C0A0 xC0C0A0 x4C4894 xAF3A54 x0000DF,state_trait_rhine_river,bg_rye_farms bg_livestock_ranches,bg_coal_mining=40 bg_logging=9,,
STATE_WALLONIA,49,cu:wallonian,building_subsistence_farms,x5180A0,,x916574,xEF2040,x2D32D7,55,xD001A0 xB0A0C0 x2D32D7 x3A5FB9 x5180A0 x8080A0 xEF2040 x916574,state_trait_borinage_coalfield,bg_wheat_farms bg_livestock_ranches,bg_coal_mining=80 bg_iron_mining=60 bg_lead_mining=30 bg_sulfur_mining=30 bg_logging=17,,
