Country,Tag,Governance,Power Distribution,Citizenship,Religion,Bureaucracy,Army,Internal Security,Economic System,Trade,Taxation,Land Reform,Colonization,Police,Education,Healthcare,Speech,Labor Rights,Children's Rights,Women's Rights,Welfare,Migration,Slavery
Serbia,SER,law_monarchy,law_wealth_voting,law_racial_segregation,law_state_religion,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_interventionism,law_mercantilism,law_proportional_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_migration_controls,law_slavery_banned
United States,USA,law_presidential_republic,law_universal_suffrage,law_multiculturalism,law_total_separation,law_appointed_bureaucrats,law_national_militia,law_national_guard,law_laissez-faire,law_protectionism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_private_health_insurance,law_protected_speech,law_regulatory_bodies,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_migration_controls,law_slavery_banned
Afghanistan,AFG,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Albania,ALB,law_monarchy,law_universal_suffrage,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Argentina,ARG,law_presidential_republic,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_laissez-faire,law_free_trade,law_per_capita_taxation,law_commercialized_agriculture,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_private_health_insurance,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Australia,AST,law_parliamentary_republic,law_census_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_old_age_pension,law_migration_controls,law_slavery_banned
British Honduras,BLZ,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_laissez-faire,law_protectionism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_no_schools,law_no_health_system,law_right_of_assembly,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Bolivia,BOL,law_presidential_republic,law_census_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_laissez-faire,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Brazil,BRZ,law_presidential_republic,law_census_suffrage,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_protectionism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_public_schools,law_no_health_system,law_right_of_assembly,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
British Raj,BIC,law_presidential_republic,law_autocracy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_agrarianism,law_free_trade,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Nepal,NEP,law_monarchy,law_landed_voting,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Bhutan,BHU,law_monarchy,law_landed_voting,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Bulgaria,BUL,law_monarchy,law_universal_suffrage,law_racial_segregation,law_state_religion,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Chile,CHL,law_parliamentary_republic,law_census_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_no_health_system,law_right_of_assembly,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
China,CHI,law_presidential_republic,law_one_party_state,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Colombia,CLM,law_presidential_republic,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_private_health_insurance,law_right_of_assembly,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Costa Rica,COS,law_presidential_republic,law_census_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Denmark,DEN,law_monarchy,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_proportional_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_old_age_pension,law_no_migration_controls,law_slavery_banned
Dutch East Indies,DEI,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_agrarianism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Ecuador,ECU,law_presidential_republic,law_universal_suffrage,law_cultural_exclusion,law_state_religion,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_protected_speech,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
El Salvador,ELS,law_presidential_republic,law_landed_voting,law_cultural_exclusion,law_freedom_of_conscience,law_hereditary_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Finland,FIN,Law_monarchy,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_proportional_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_women's_suffrage,law_poor_laws,law_no_migration_controls,law_slavery_banned
Greece,GRE,law_monarchy,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_proportional_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Guatemala,GUA,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_public_schools,law_private_health_insurance,law_censorship,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Honduras,HON,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Johore,JOH,law_monarchy,law_autocracy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_agrarianism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Korea,KOR,law_presidential_republic,law_autocracy,law_national_supremacy,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_interventionism,law_mercantilism,law_proportional_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_outlawed_dissent,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Luxembourg,LUX,law_monarchy,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_no_police,law_public_schools,law_public_health_insurance,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Mexico,MEX,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_laissez-faire,law_protectionism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_public_schools,law_private_health_insurance,law_censorship,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Montenegro,MON,law_monarchy,law_universal_suffrage,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Netherlands,NET,law_monarchy,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_elected_bureaucrats,law_professional_army,law_guaranteed_liberties,law_interventionism,law_mercantilism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
New Zealand,NZL,law_parliamentary_republic,law_census_suffrage,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_old_age_pension,law_no_migration_controls,law_slavery_banned
Newfoundland,NEW,law_parliamentary_republic,law_census_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_no_police,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_old_age_pension,law_no_migration_controls,law_slavery_banned
Nicaragua,NIC,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Oman,OMA,law_monarchy,law_autocracy,law_racial_segregation,law_freedom_of_conscience,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Ottoman Empire,TUR,law_monarchy,law_census_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_mass_conscription,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_public_schools,law_public_health_insurance,law_censorship,law_regulatory_bodies,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Panama,PNM,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Paraguay,PRG,law_presidential_republic,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_right_of_assembly,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Persia,PER,law_monarchy,law_oligarchy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Peru,PEU,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_state_religion,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_no_health_system,law_right_of_assembly,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Portugal,POR,Law_parliamentary_republic,law_universal_suffrage,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_national_militia,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_private_health_insurance,law_right_of_assembly,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Dominican Republic,DOM,law_presidential_republic,law_autocracy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Siam,SIA,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Spain,SPA,law_monarchy,law_oligarchy,law_racial_segregation,law_state_religion,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_proportional_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_public_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Switzerland,SWI,law_parliamentary_republic,law_universal_suffrage,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_national_militia,law_no_home_affairs,law_interventionism,law_protectionism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_local_police_force,law_public_schools,law_public_health_insurance,law_protected_speech,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_old_age_pension,law_migration_controls,law_slavery_banned
Uruguay,URU,law_presidential_republic,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_national_militia,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_regulatory_bodies,law_restricted_child_labor,law_propertied_women,law_wage_subsidies,law_no_migration_controls,law_slavery_banned
Venezuela,VNZ,law_presidential_republic,law_oligarchy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_secret_police,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Morocco,MOR,law_monarchy,law_autocracy,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Norway,NOR,law_monarchy,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_national_militia,law_no_home_affairs,law_interventionism,law_mercantilism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_no_police,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_regulatory_bodies,law_compulsory_primary_school,law_women's_suffrage,law_poor_laws,law_no_migration_controls,law_slavery_banned
Egypt,EGY,law_monarchy,law_autocracy,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Belgian Congo,KON,law_presidential_republic,law_autocracy,law_racial_segregation,law_state_religion,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_commercialized_agriculture,law_no_colonial_affairs,law_dedicated_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_closed_borders,law_slavery_banned
Liberia,LIB,law_presidential_republic,law_universal_suffrage,law_cultural_exclusion,law_total_separation,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
Ethiopia,ETH,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_appointed_bureaucrats,law_peasant_levies,law_no_home_affairs,law_agrarianism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_charity_hospitals,law_censorship,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Union of South Africa,SAF,law_parliamentary_republic,law_census_suffrage,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_religious_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
